component,candidate_supplier,manufacturing_locations,source_note
Display Panel,LG Display Company Limited,"South Korea, China, Vietnam",Apple FY2023 Supplier List
Display Panel,Sharp Corporation,"China, Japan, Vietnam",Apple FY2023 Supplier List
Battery,Simplo Technology Company Limited,China,Apple FY2023 Supplier List
Battery,Sunwoda Electronic Company Limited,"China, India, Vietnam",Apple FY2023 Supplier List
Battery,Zhuhai CosMX Battery Co. Ltd.,China,Apple FY2023 Supplier List
Battery,LG Energy Solution,"China, South Korea",Apple FY2023 Supplier List
Memory (RAM/NAND),Micron Technology Incorporated,"China, Japan, Singapore, Taiwan",Apple FY2023 Supplier List
Memory (RAM/NAND),SK hynix Incorporated,"China, South Korea",Apple FY2023 Supplier List
Memory (RAM/NAND),Kioxia Holdings Corporation,"China, Japan",Apple FY2023 Supplier List
Chip Fabrication (SoC),Taiwan Semiconductor Manufacturing Company Limited,"China, Singapore, Taiwan",Apple FY2023 Supplier List
Power Management IC,Texas Instruments Incorporated,"China, Germany, Japan, Malaysia, Philippines, Singapore, South Korea, Taiwan, Thailand, USA",Apple FY2023 Supplier List
Power Management IC,Infineon Technologies AG,"Austria, China, Germany, Israel, Malaysia, Philippines, Singapore, South Korea, Taiwan, Thailand, UK, USA",Apple FY2023 Supplier List
Audio Components,Cirrus Logic Incorporated,Taiwan,Apple FY2023 Supplier List
Audio Components,Knowles Corporation,"China, Malaysia",Apple FY2023 Supplier List
Camera Module,Largan Precision Company Limited,"China, Taiwan",Apple FY2023 Supplier List
Camera Module,Genius Electronic Optical Company Limited,"China, Taiwan",Apple FY2023 Supplier List
Chassis Material (Aluminum),Kam Kiu Aluminium Products Group Limited,China,Apple FY2023 Supplier List
Chassis Material (Titanium),Baoji Titanium Industry Co. Ltd.,China,Apple FY2023 Supplier List
Final Assembly,Hon Hai Precision Industry Company Limited (Foxconn),"China, India, Vietnam",Apple FY2023 Supplier List
Final Assembly,Pegatron Corporation,"China, India",Apple FY2023 Supplier List
Final Assembly,Quanta Computer Incorporated,"China, Thailand, Vietnam",Apple FY2023 Supplier List
